GEOID,Rank
53033024901,6
53033024902,5.5
53033024903,4.5
53033025001,7.5
53033025003,4
53033025005,5.5
53033025006,4.5
53033025101,5.5
53033025102,6
53033025200,8.5
53033025301,8.5
53033025302,9.5
53033025400,9
53033025500,7
53033025601,9
53033025602,7
53033025701,9
53033025702,8.5
53033025803,8.5
53033025804,9
53033025805,9.5
53033025806,9.5
53033026001,9.5
53033026002,9.5
53033026100,10
53033026200,10
53033026300,10
53033026400,10
53033026500,9
53033026600,7
53033026700,7.5
53033026801,9
53033026802,9
53033027000,9
53033027100,10
53033027200,10
53033027300,10
53033027400,9
53033027500,8
53033027600,7.5
53033027701,3
53033027702,3.5
53033027800,6.5
53033027900,7
53033028000,7.5
53033028100,10
53033028200,10
53033028300,10
53033028402,9.5
53033028403,9.5
53033028500,7
53033028600,8
53033028700,7.5
53033028801,9
53033028802,9
53033028901,8.5
53033028902,9
53033029001,7.5
53033029003,8.5
53033029004,8.5
53033029101,9
53033029102,9
53033029203,9
53033029204,9.5
53033029205,9.5
53033029206,10
53033029303,9
53033029304,7.5
53033029305,9
53033029306,8.5
53033029307,5
53033029403,9
53033029405,6.5
53033029406,6
53033029407,8
53033029408,7
53033029502,5
53033029503,7.5
53033029504,6
53033029601,5
53033029602,6
53033029700,9.5
53033029801,9
53033029802,9.5
53033029901,9
53033029902,8.5
53033030003,8
53033030004,6.5
53033030005,7
53033030006,7.5
53033030100,7
53033030201,6.5
53033030202,7
53033030304,8.5
53033030305,4
53033030306,6.5
53033030308,7
53033030309,6.5
53033030310,8
53033030311,6
53033030312,6.5
53033030313,7
53033030314,7
53033030401,9.5
53033030403,7.5
53033030404,9
53033030501,8.5
53033030503,7.5
53033030504,8
53033030600,9
53033030700,8.5
53033030801,9
53033030802,7
53033030901,8.5
53033030902,8.5
53033031000,6.5
53033031100,7.5
53033031202,3.5
53033031204,5
53033031205,6
53033031206,6
53033031301,3.5
53033031302,3
53033031400,3.5
53033031501,3
53033031502,3
53033031601,4
53033031603,4
53033031604,3
53033031605,3.5
53033031703,4.5
53033031704,5
53033031705,4.5
53033031706,4.5
53033031800,5.5
53033031903,6
53033031904,3.5
53033031906,4.5
53033031907,5.5
53033031908,5.5
53033031909,4.5
53033032002,4.5
53033032003,5.5
53033032005,4.5
53033032006,3.5
53033032007,4.5
53033032008,3.5
53033032010,3.5
53033032011,3.5
53033032102,4.5
53033032103,4.5
53033032104,4.5
53033032203,3
53033032207,3
53033032208,4.5
53033032210,4.5
53033032211,2.5
53033032212,3.5
53033032213,2
53033032214,2.5
53033032215,2
53033032307,2.5
53033032309,7.5
53033032311,1.5
53033032313,6.5
53033032315,1.5
53033032316,4.5
53033032317,2.5
53033032318,2.5
53033032319,7
53033032320,6
53033032321,6
53033032322,2.5
53033032323,5.5
53033032324,6
53033032325,5.5
53033032326,3.5
53033032327,3
53033032328,3
53033032329,2.5
53033032401,1.5
53033032402,1.5
53033032500,2
53033032601,2.5
53033032602,3
53033032702,2.5
53033032703,3
53033032704,2
53033032800,3
53033990100,3
53053060200,10
53053060300,5
53053060400,5.5
53053060500,6
53053060600,9
53053060700,7.5
53053060800,7.5
53053060903,4
53053060904,5
53053060905,5.5
53053060906,6.5
53053061001,5.5
53053061002,6.5
53053061100,7.5
53053061200,8.5
53053061300,10
53053061400,10
53053061500,9.5
53053061601,9.5
53053061602,9.5
53053061700,10
53053061800,9.5
53053061900,10
53053062000,10
53053062300,10
53053062400,9
53053062500,9.5
53053062600,9
53053062801,8
53053062802,8.5
53053062900,9
53053063000,8.5
53053063100,9
53053063200,8.5
53053063300,8
53053063400,8
53053063501,8.5
53053063502,7.5
53053070100,2
53053070203,3.5
53053070204,2.5
53053070205,3
53053070206,2.5
53053070207,3.5
53053070307,2.5
53053070308,4.5
53053070309,4
53053070310,3.5
53053070311,3
53053070312,4.5
53053070313,6
53053070314,6
53053070315,5.5
53053070316,6.5
53053070401,6
53053070403,3.5
53053070404,3.5
53053070703,8.5
53053071100,6.5
53053071205,7
53053071206,6
53053071207,7
53053071208,6
53053071209,5.5
53053071210,6.5
53053071304,6
53053071305,6.5
53053071306,5.5
53053071307,6
53053071309,5.5
53053071310,5
53053071403,4
53053071406,4.5
53053071407,4.5
53053071408,4
53053071409,4.5
53053071410,3.5
53053071411,3.5
53053071503,7
53053071504,8
53053071505,5.5
53053071506,4.5
53053071601,7
53053071602,6.5
53053071703,7
53053071704,7.5
53053071705,7.5
53053071706,7
53053071707,8
53053071803,7.5
53053071805,8
53053071806,7
53053071807,8
53053071808,7.5
53053071901,8.5
53053071902,7.5
53053072000,6.5
53053072105,6
53053072106,6.5
53053072107,6.5
53053072108,7
53053072109,4.5
53053072111,4.5
53053072112,5
53053072305,8
53053072307,5.5
53053072308,6
53053072309,5.5
53053072310,5.5
53053072311,5.5
53053072312,6.5
53053072313,7
53053072405,1.5
53053072406,3
53053072407,3.5
53053072408,4
53053072409,2.5
53053072410,3.5
53053072503,2.5
53053072504,4
53053072505,3
53053072506,3.5
53053072507,4
53053072601,1.5
53053072602,1.5
53053072603,2
53053072800,4
53053072901,6.5
53053072903,5
53053072905,5
53053072906,5
53053072907,5
53053073001,1.5
53053073005,1.5
53053073006,2
53053073108,5.5
53053073110,4.5
53053073111,5.5
53053073113,4
53053073114,3
53053073115,3
53053073116,3
53053073117,1.5
53053073118,2.5
53053073119,1.5
53053073120,5
53053073121,5
53053073122,5
53053073123,5
53053073124,4
53053073125,5
53053073126,4.5
53053073200,1
53053073301,8.5
53053073302,8
53053073404,9
53053073405,8
53053073406,8
53053073407,8
53053073408,7.5
53053073500,8.5
53053940001,6.5
53053940002,9.5
53053940003,9
53053940004,9.5
53053940005,9
53053940006,9
53053940007,10
53053940008,7.5
53053940009,8.5
53053940010,8.5
53053940011,7.5
